gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
male,0,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),117.8,8684.8
female,0,yes,no,48,yes,no,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,yes,credit_card_(automatic),100.05,4834.0
female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.5,20.5
male,1,yes,no,24,no,no_phone_service,dsl,no,no,yes,yes,no,no,month-to-month,no,mailed_check,34.25,828.2
female,0,yes,no,7,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,81.1,576.65
female,0,no,no,68,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,two_year,no,credit_card_(automatic),110.25,7279.35
female,0,yes,no,61,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),103.3,6518.35
male,1,no,no,24,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),70.0,1732.6
female,0,yes,yes,5,yes,no,fiber_optic,no,yes,no,no,no,yes,month-to-month,yes,electronic_check,83.6,404.2
male,0,no,yes,1,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,99.75,99.75
male,0,yes,yes,27,yes,yes,fiber_optic,yes,yes,no,yes,yes,no,month-to-month,no,electronic_check,100.75,2793.55
female,1,no,no,17,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.65,330.6
female,0,no,no,25,yes,no,fiber_optic,yes,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),79.85,2015.35
male,0,no,no,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),21.0,1107.2
female,0,no,no,9,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,no,mailed_check,66.25,620.55
female,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.55,19.55
female,0,yes,no,62,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,mailed_check,113.95,6891.4
male,0,no,no,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),20.45,237.3
female,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),115.6,8220.4
female,0,yes,yes,45,no,no_phone_service,dsl,no,yes,yes,yes,no,yes,one_year,no,bank_transfer_(automatic),51.0,2264.5
male,0,yes,yes,53,yes,yes,dsl,no,no,yes,yes,yes,yes,one_year,yes,mailed_check,78.75,3942.45
male,0,yes,no,48,yes,yes,dsl,no,yes,yes,no,no,yes,one_year,yes,credit_card_(automatic),70.55,3420.5
female,0,yes,yes,37,yes,no,dsl,yes,yes,no,no,yes,yes,one_year,no,bank_transfer_(automatic),75.1,2658.8
male,0,no,no,27,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic_check,59.45,1611.65
male,0,no,no,37,yes,yes,dsl,yes,yes,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),90.6,3358.65
female,0,no,no,31,yes,no,fiber_optic,yes,no,yes,yes,no,no,month-to-month,no,electronic_check,87.6,2724.25
female,0,yes,no,63,yes,no,fiber_optic,yes,no,yes,no,no,no,one_year,yes,credit_card_(automatic),81.15,5224.5
female,1,no,no,70,yes,yes,dsl,no,yes,yes,yes,yes,no,two_year,yes,bank_transfer_(automatic),75.5,5212.65
male,0,no,no,28,no,no_phone_service,dsl,no,no,no,yes,no,no,month-to-month,yes,credit_card_(automatic),30.1,810.85
female,0,yes,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),63.8,4684.3
female,0,no,no,59,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,electronic_check,24.45,1493.1
female,1,no,no,26,yes,no,fiber_optic,yes,no,no,no,yes,no,month-to-month,yes,credit_card_(automatic),85.8,2193.65
female,0,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),85.75,6223.8
female,0,yes,yes,14,yes,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,84.8,1203.9
male,0,yes,no,64,yes,yes,dsl,no,yes,yes,yes,yes,no,two_year,yes,bank_transfer_(automatic),76.1,4818.8
male,1,yes,no,58,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,98.7,5812.6
male,1,no,no,50,yes,yes,dsl,yes,yes,no,no,yes,no,month-to-month,yes,bank_transfer_(automatic),70.35,3454.6
female,0,no,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,48.8,720.1
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.05,20.05
female,0,yes,yes,51,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.95,1028.75
male,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,no,yes,one_year,yes,credit_card_(automatic),104.9,7537.5
female,1,no,no,46,yes,yes,dsl,no,no,yes,yes,no,yes,one_year,yes,credit_card_(automatic),69.1,3255.35
male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,45.85,81.0
male,0,no,no,60,yes,no,dsl,yes,yes,yes,no,no,no,two_year,no,electronic_check,61.4,3638.25
female,0,no,yes,17,yes,yes,fiber_optic,no,yes,yes,yes,no,no,month-to-month,yes,credit_card_(automatic),92.7,1556.85
female,1,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),114.85,8317.95
male,0,yes,yes,67,yes,no,dsl,yes,no,yes,yes,no,no,two_year,yes,bank_transfer_(automatic),60.4,3953.7
female,0,no,no,34,yes,no,dsl,yes,yes,no,no,no,no,one_year,no,mailed_check,55.0,1885.15
male,0,yes,yes,70,yes,yes,fiber_optic,yes,yes,no,no,yes,no,month-to-month,yes,credit_card_(automatic),97.55,6669.05
female,0,yes,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,electronic_check,20.15,91.4
male,1,yes,no,3,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,94.6,279.55
female,0,yes,no,7,yes,no,dsl,yes,no,yes,yes,yes,yes,month-to-month,no,bank_transfer_(automatic),81.25,580.1
male,0,no,no,50,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.9,1195.25
male,1,yes,yes,8,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,credit_card_(automatic),80.45,583.45
female,0,no,no,54,yes,no,dsl,yes,no,yes,yes,yes,yes,two_year,no,electronic_check,80.6,4299.95
male,0,no,no,8,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),70.7,553.4
male,0,yes,yes,49,yes,yes,fiber_optic,no,yes,yes,no,yes,no,one_year,yes,electronic_check,93.65,4520.15
female,0,yes,no,37,yes,yes,dsl,yes,no,yes,yes,no,no,one_year,no,credit_card_(automatic),68.1,2479.25
male,0,no,no,25,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,70.95,1767.35
female,0,yes,yes,23,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),91.1,2198.3
male,0,yes,no,34,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.05,679.0
male,0,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.9,19.9
female,0,no,no,51,yes,no,fiber_optic,no,no,no,no,yes,yes,one_year,no,credit_card_(automatic),87.55,4475.9
female,1,no,no,54,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,79.5,4370.25
male,0,no,no,8,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,credit_card_(automatic),54.75,438.05
female,0,yes,no,29,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,74.95,2149.05
female,1,no,no,15,yes,yes,dsl,no,no,no,yes,no,no,month-to-month,no,credit_card_(automatic),55.0,757.1
female,0,no,no,37,no,no_phone_service,dsl,no,no,no,yes,no,no,month-to-month,no,credit_card_(automatic),28.6,973.55
female,0,no,no,36,yes,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),94.8,3565.65
male,0,yes,yes,62,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),24.25,1424.6
male,1,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),109.55,7920.7
male,0,no,no,49,yes,yes,dsl,no,no,no,yes,yes,no,two_year,yes,bank_transfer_(automatic),66.15,3199.0
female,0,no,no,38,yes,yes,dsl,yes,yes,yes,no,yes,yes,one_year,no,bank_transfer_(automatic),84.1,3187.65
male,1,yes,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.85,1901.0
female,0,no,yes,8,no,no_phone_service,dsl,yes,no,no,no,no,yes,month-to-month,yes,electronic_check,38.5,330.8
female,0,yes,yes,43,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.0,817.95
male,1,yes,no,7,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.4,533.05
female,0,yes,yes,3,yes,yes,dsl,no,yes,yes,no,yes,no,month-to-month,yes,bank_transfer_(automatic),69.15,235.0
female,1,yes,yes,4,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,46.0,181.6
female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,44.1,44.1
male,0,no,no,9,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,18.95,185.6
female,0,no,yes,24,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),21.05,531.55
male,0,no,no,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,two_year,yes,electronic_check,103.65,7634.8
female,1,no,no,8,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.75,606.25
male,1,yes,no,3,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,105.9,334.65
male,1,no,no,21,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,104.35,2271.85
female,0,yes,no,58,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,yes,credit_card_(automatic),110.65,6526.65
female,0,yes,yes,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,electronic_check,20.4,1090.65
male,0,no,no,53,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,one_year,no,credit_card_(automatic),54.9,3045.75
male,1,no,no,51,yes,yes,fiber_optic,no,yes,no,no,no,no,one_year,yes,bank_transfer_(automatic),79.6,3974.7
female,1,no,no,5,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,credit_card_(automatic),75.55,349.65
male,0,no,yes,72,no,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),67.2,4671.7
female,1,yes,no,70,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),113.0,7987.6
male,0,yes,no,32,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,electronic_check,78.9,2447.95
female,0,no,no,2,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,electronic_check,75.8,160.75
male,0,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.2,55.7
female,0,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,19.0,19.0
female,0,no,no,3,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,80.5,232.35
male,0,yes,yes,42,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.25,854.9
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),20.2,20.2
male,1,yes,no,7,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.5,676.7
male,1,yes,no,7,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),95.6,644.35
male,0,no,no,56,yes,yes,fiber_optic,no,yes,no,yes,no,yes,month-to-month,yes,electronic_check,94.45,5124.6
female,0,yes,no,35,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.3,2416.55
female,0,yes,yes,24,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),21.1,490.65
male,0,yes,no,6,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,25.1,171.0
female,0,no,no,7,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),70.75,450.8
male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),44.9,111.05
male,0,yes,yes,67,yes,yes,fiber_optic,no,yes,yes,no,no,no,one_year,no,electronic_check,87.4,5918.8
female,0,yes,yes,54,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),104.1,5645.8
male,0,yes,no,43,yes,no,dsl,no,no,no,no,yes,no,one_year,yes,mailed_check,56.35,2391.15
female,0,no,no,54,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,no,electronic_check,111.1,6014.85
male,1,no,no,24,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,76.1,1712.7
male,0,no,yes,22,yes,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,credit_card_(automatic),89.1,1949.4
female,0,yes,yes,61,yes,no,dsl,yes,no,no,no,no,no,one_year,yes,bank_transfer_(automatic),49.7,2961.4
male,1,yes,no,63,no,no_phone_service,dsl,yes,no,no,yes,no,no,one_year,no,bank_transfer_(automatic),36.1,2298.9
male,0,yes,no,70,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.15,1940.85
male,0,yes,no,37,yes,no,fiber_optic,no,no,yes,yes,no,yes,month-to-month,yes,electronic_check,90.35,3419.3
male,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,50.3,92.75
female,0,yes,no,5,yes,no,fiber_optic,yes,no,yes,no,no,yes,month-to-month,yes,mailed_check,88.9,454.15
male,0,no,no,13,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),25.15,331.85
female,0,yes,yes,10,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),19.8,196.75
female,0,yes,yes,28,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),19.55,543.8
male,0,no,yes,1,no,no_phone_service,dsl,no,yes,no,yes,no,no,month-to-month,no,mailed_check,33.6,33.6
female,0,yes,no,37,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,99.5,3762.0
female,0,yes,no,25,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,electronic_check,74.6,1797.75
male,0,no,yes,19,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),25.35,566.1
female,0,no,no,60,no,no_phone_service,dsl,yes,no,yes,no,yes,yes,two_year,no,electronic_check,53.6,3237.05
female,0,no,no,2,yes,no,fiber_optic,yes,no,yes,no,no,no,month-to-month,yes,electronic_check,80.45,137.1
male,0,yes,no,67,yes,no,dsl,yes,yes,no,yes,no,yes,two_year,yes,credit_card_(automatic),69.2,4671.65
male,0,no,no,5,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.25,109.8
male,0,yes,yes,53,yes,no,dsl,yes,yes,no,yes,yes,no,two_year,yes,mailed_check,69.7,3729.6
male,0,no,no,10,no,no_phone_service,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed_check,33.9,298.45
male,0,yes,no,29,no,no_phone_service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,45.9,1332.4
male,1,yes,no,2,yes,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),95.5,181.65
male,0,no,yes,23,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,no,electronic_check,54.15,1312.45
female,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.55,33.6
female,0,yes,yes,33,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.1,670.35
male,0,yes,yes,15,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,no,mailed_check,75.1,1151.55
female,1,no,no,54,yes,yes,dsl,yes,yes,no,yes,yes,yes,one_year,no,bank_transfer_(automatic),82.45,4350.1
male,0,no,no,27,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,49.0,1291.35
male,0,yes,yes,22,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.95,433.5
female,0,yes,yes,37,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,26.45,911.6
male,0,no,no,9,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,70.05,657.5
female,0,yes,no,53,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),98.4,5149.5
male,0,no,no,70,yes,yes,fiber_optic,yes,no,no,yes,yes,yes,two_year,yes,credit_card_(automatic),104.0,7250.15
male,0,no,no,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.1,1268.85
female,0,yes,yes,23,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.65,451.55
female,0,yes,yes,7,yes,no,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,electronic_check,75.7,554.05
female,0,yes,no,48,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),105.1,5083.55
male,0,no,yes,69,yes,yes,dsl,yes,yes,yes,yes,yes,no,two_year,yes,credit_card_(automatic),79.45,5502.55
female,0,no,no,40,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,no,bank_transfer_(automatic),83.85,3532.25
female,0,yes,no,54,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,yes,mailed_check,114.65,6049.5
male,0,yes,no,31,yes,yes,fiber_optic,yes,yes,no,yes,no,no,month-to-month,yes,credit_card_(automatic),90.55,2929.75
female,0,yes,yes,64,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,yes,electronic_check,111.45,7266.95
male,0,yes,no,48,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.05,1036.0
female,0,no,yes,44,yes,yes,dsl,no,yes,no,no,yes,yes,one_year,yes,mailed_check,77.55,3471.1
female,0,yes,no,13,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),48.75,633.4
male,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,no,no,two_year,yes,credit_card_(automatic),66.5,4811.6
female,1,no,no,21,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),95.4,2025.1
male,0,no,no,72,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,104.95,7544.3
male,0,no,no,4,yes,yes,fiber_optic,no,yes,no,no,no,yes,month-to-month,yes,electronic_check,90.05,368.1
male,0,no,no,51,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,19.1,1007.8
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.95,19.95
male,0,yes,yes,56,no,no_phone_service,dsl,yes,yes,no,yes,yes,no,one_year,yes,mailed_check,52.0,2884.9
female,0,yes,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,51.1,711.15
male,0,no,no,6,yes,no,dsl,yes,no,yes,yes,yes,yes,month-to-month,no,credit_card_(automatic),78.65,483.3
female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,44.3,89.3
male,0,yes,no,67,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,electronic_check,111.05,7321.05
female,1,no,no,20,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed_check,61.6,1174.35
male,0,no,no,33,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),54.65,1665.2
male,1,no,no,9,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed_check,49.2,447.9
male,0,no,no,72,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),19.85,1434.1
male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one_year,no,electronic_check,81.25,5567.55
male,0,yes,no,70,yes,yes,dsl,yes,no,no,yes,yes,yes,two_year,yes,credit_card_(automatic),76.95,5289.8
male,0,no,no,39,yes,no,fiber_optic,no,no,yes,yes,no,no,one_year,no,electronic_check,81.9,3219.75
male,1,no,no,41,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,98.4,4187.75
female,0,no,no,3,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic_check,64.6,174.2
female,0,no,no,56,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),106.6,5893.95
male,1,no,no,64,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),103.5,6548.65
male,0,no,no,30,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.7,625.05
female,0,yes,no,59,yes,yes,fiber_optic,yes,yes,yes,yes,no,yes,one_year,yes,credit_card_(automatic),107.0,6152.3
female,0,yes,no,21,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),104.4,2200.25
male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,45.7,45.7
male,1,no,no,67,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),25.1,1672.15
male,0,yes,no,55,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,104.15,5743.05
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.05,19.05
male,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,69.1,69.1
male,0,yes,yes,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.9,76.65
female,1,no,no,64,no,no_phone_service,dsl,no,yes,no,yes,yes,no,month-to-month,yes,electronic_check,43.85,2751.0
female,0,no,no,38,yes,no,fiber_optic,no,no,no,no,yes,yes,one_year,yes,mailed_check,89.1,3342.0
male,0,yes,yes,32,no,no_phone_service,dsl,no,no,yes,yes,no,no,one_year,yes,mailed_check,36.25,1151.05
female,0,no,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.95,109.5
female,0,no,no,36,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_(automatic),19.25,679.8
female,0,no,no,33,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic_check,107.55,3645.5
male,0,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,yes,mailed_check,69.5,1071.4
male,0,yes,no,56,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,electronic_check,107.25,6033.3
female,0,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two_year,yes,credit_card_(automatic),59.9,3505.1
male,0,yes,yes,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,19.15,477.6
male,0,no,no,1,yes,no,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed_check,55.7,55.7
female,1,yes,no,71,yes,yes,fiber_optic,yes,yes,yes,yes,no,no,two_year,yes,credit_card_(automatic),96.35,6766.95
male,0,no,yes,19,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),24.1,439.2
male,0,no,no,37,no,no_phone_service,dsl,no,no,no,no,yes,no,two_year,no,credit_card_(automatic),35.8,1316.9
female,0,yes,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,45.0,89.75
female,0,no,no,44,yes,yes,fiber_optic,no,yes,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),84.8,3862.55
male,0,yes,yes,15,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.0,288.05
male,0,yes,no,69,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,mailed_check,84.7,5878.9
